Type of Event,Event Verticals,Name of Event,Dates,Hours,Date of Last Year's Event,Date of Next Year's Event,Country,City,Venue,# Atendees of Last Event,# Exhibitors of Last Event,URL,Phone Number,E-mail,About the Event,Exhibitors,Attendees,Exhibitor Info,Link to Photos,Link to Videos,Facebook,Instagram,Linkedin,Twitter,,
Trade Show & Conference,"Print, Packaging, Graphics",Printex,13 Aug 2019-16 Aug 2019,10:00 AM - 06:00 PM (13 Aug 2019-15 Aug 2019)|10:00 AM - 04:00 PM (16 Aug 2019),12 Sep 2018-14 Sep 2018,20-May,Australia,Sydney,Sydney Showground,6085,120,https://www.printex.net.au,+61 2 9868 1577,sales@visualconnections.org.au,"Leading show for print, sign, display, label and packaging professionals PrintEx in Sydney from 13-16 August is this years leading show for print, sign, display, label and packaging professionals. With more than 120 exhibitors showcasing their latest technologies, a packed program of keynotes, masterclasses, panel sessions and workshops, and some of the industrys leading events, its not to be missed. https://www.printex.net.au/about","ABC Copier Solutions ,Bottcher Australia Pty Ltd ,Colour Graphic Services ,Display Systems Australia ,Currie Group ,Fuji Xerox Australia ,Gravotech Australia ,Guru Labels ,Hexis Australia ,Image Magazines ,Jet Technologies ,John Jewell Design ,Kayell Australia Pty Ltd ,Kissel & Wolf ,Konica Minolta ,M-Power Software ,Ricoh Australia ,Signwave Australia ,Trimatt Systems ,B&R Moll, Inc.",Eligiblity Criteria: Open to industrt professionals Fees: Contact required for pricing details,Sponsorship Fees: Various options cost between $500 - $5.000 Exhibitor Fees: Vary between $2.100 - $13.000,,,https://www.facebook.com/PrintExAustralia/,,,https://twitter.com/PrintExAust,,
Trade Show & Conference,"Print, Packaging, Graphics",Media Expo New Delhi,6 Sep 2019  8 Sep 2019,10:00 AM - 06:00 PM (6 Sep 2019-7 Sep 2019)|10:00 AM-05:00 PM(8 Sep 2019),7 Sep 2018-9 Sep 2018,20-Sep,India,New Delhi,Pragati Maidan,15338,194,https://media-expo-newdelhi.in.messefrankfurt.com/newdelhi/en.html,+91 22 6103 8441,deepali.gobre@india.messefrankfurt.com,"The Biggest Trade Exhibition for Indoor & Outdoor Advertising and Signage Industry Media Expo New Delhi is Indias only exhibition bringing together the best in indoor/outdoor advertising solutions, printing technology, branded merchandising and the signage industry under one roof. https://media-expo-newdelhi.in.messefrankfurt.com/newdelhi/en/facts-figures.html","Koncept Imaging ,Mirage Advertising World ,B&R Digitals ,Plasto India ,Sam Global ,Elephant Fabric Ltd ,GW Elecs ,Hanuman Graphics Pvt Ltd ,JX Enterprise ,Xintao Acrylic ,Jinan Apollo Inc Co. Ltd. ,SS Industries ,Splashjet Print Technologies ,Gita and Company ,Silver Sign Pvt Ltd ,Sheth Printograph Pvt Ltd ,Sawhney Signage ,Euro Panel Producst Pvt Ltd ,Aditya Digital Technologies Pvt Ltd ,Alizarin Coating Co Ltd",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free for business and trade visitors only,Sponsorship Fees: Contact required for further information Exhibitor Fees: Standard package (min 9 sq m) - 250 Raw space (min 24 sq m) - 235,https://media-expo-newdelhi.in.messefrankfurt.com/newdelhi/en.html,,https://www.facebook.com/MediaExpoIndia/,https://www.instagram.com/mediaexpo_india/,https://www.linkedin.com/in/media-expo/,https://twitter.com/mediaexpo_india,,
Trade Show,"Print, Packaging, Graphics",IPMEX Malaysia,1 Aug 2019-4 Aug 2019,10:30 AM - 06:30 PM (1 Aug 2019-3 Aug 2019)|10:30 AM - 05:30 PM (4 Aug 2019),10 Aug 2017-13 Aug 2017,21-Aug,Malaysia,Kuala Lumpur,Putra World Trade Centre,16047,197,http://ipmex.com/,+603 6277 5108,enquiries@kaizer.com.my,"International Printing, Paper, Packaging Machinery Exhibition IPMEX is an event that illustrates the opportunity for industry professionals and experts, to develop the strong network, build influential collaborations and utilise vital marketing resources for the growth and development of the industry. This event brings out the best in print technology and digital printing. http://ipmex.com/brochure/",,Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship Fees: Exhibitor Fees: Raw space rate (18 sq m min.) - $2.315 per 9 sq m + $88 for corner location Shell scheme rate (9 sq m min.) - $2.585 per 9 sq m + $88 for corner location,,https://www.youtube.com/watch?v=RkXHJsUw180,,,,,,
Trade Show,"Print, Packaging, Graphics",PPPExpo,1 Aug 2019-3 Aug 2019,10:00 AM - 06:00 PM,4 Sep 2018-6 Sep 2018,Aug-Sep 2020,Kenya,Nairobi,Kenyatta International Convention Centre,3800,,https://www.expogr.com/kenyappp/index.php,+971 43050755,feedback@expogr.com,"Kenya's Biggest International Trade Exhibiton PPPEXPO Africa is the only dedicated industry specific international trade show for Plastics, Printing & Packaging Industry in the entire East African region that promises to be an excellent platform to forge business alliances, showcase technological and interact directly with the African traders from the East, Central & South African region. https://www.expogr.com/kenyappp/aboutus.php","Syda Poly Laminates ,El Farasha Co ,Bell Multi Kraft Pvt. Ltd. ,Tulip For Printing & Industry ,Paya Polymer Dana ,SKYi ,Dharam Engineering Works ,Nature Packwell Pvt. Ltd. ,Shrinath Flexipack Pvt Ltd ,3D AG ,Al Montar International Trading Est. ,Adtek Consolidated Sdn. Bhd. ,Astro Pak Engineering Solutions ,The Navigator Company ,J.K. Nonwoven Pvt. Ltd. ,Desai Industries Pvt. Ltd. ,Mermas Kimya ,RYNAN Technologies ,Reliance Petrochem Industries ,Centroiid",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Starts from $590 to $980,Sponsorship Fees: Sponsorship packages vary from $13.200 to $26.000 Exhibitor Fees: Space only - $350/sq m Standard stand (min. 9 sq m) - $380/sq m Full package - Starts at $4.470,https://expogr.com/kenyappp/photo_gallery.php,https://www.youtube.com/watch?v=o5mD5-6ud5c,https://www.facebook.com/expogroup?ref=hl,https://www.instagram.com/expogroup/,,https://twitter.com/EXPOGR,,
Trade Show,"Print, Packaging, Graphics",Print 2 Pack,5 Sep 2019-7 Sep 2019,10:00 AM - 08:00 PM,10 Sep 2018-12 Sep 2018,20-Sep,Egypt,Cairo,Egypt International Exhibition Center,9350,220,http://www.print2packexpo.com/,+202 267 122 87,p2p@nilefairs.com,The Ideal Platform for Packaging and Printing Machinery Emerging markets are increasingly becoming the source of growth in the complex global economy. The rate of return on foreign investment is higher in the MENA region than in any other emerging market. Egypt has one of the most developed and diversified economies in the region. http://www.print2packexpo.com/m/about-print-2-pack,"Tapco Inc ,PCF Maintenance ,Cellwood Machinery AB ,Morgan Paper Coaters ,Packaging Products Company ,KMG ,Nippon Tokken Kogyo Co., Ltd. ,Tissue Macinery Company S.P.A ,Paper Converting Machine Company ,Boettcher Italiana ,Tapadia Polyesters Private Limited ,Bellmer-Kufferath Machinery GmbH ,Paul Wegner ,Noviprofibre ,Aikawa Fiber Technologies Oy ,Uniplast ,T-COLOR Printing inks ,Gemini Corporation N V ,Hergen Paper Machinery ,DGM Machinery",Eligibility Criteria: Open to industry professionals and trade visitors Fees: Free,Sponsorship Fees: Sponsorship opportunities available Contact required for further information Advertising in Exhibition Catalogue - Vary between $700 - $1.400 Exhibitor Fees: Contact required for pricing details,http://www.print2packexpo.com/m/gallery,,https://www.facebook.com/print2packexpo,,https://www.linkedin.com/company/print2packexpo/,https://twitter.com/print2packexpo,,
Conference,"Print, Packaging, Graphics",The Print Event,6 Aug 2019-7 Aug 2019,08:00 AM - 06:00 PM (6 Aug 2019)|08:00 AM - 05:00 PM (7 Aug 2019),,20-Aug,USA,Minneapolis,The Lumber Exchange,,,https://theprintevent.com/,,bg@momentumevents.com,The Premier Conference for Integrating Print into Your Omnichanel Marketing in a Digital World The print event will introduce you to strategies to not only capitalize on print as a profit-driving marketing channel but to engage in a more meaningful manner with your customers. https://theprintevent.com/,,"Eligibility Criteria: Open to industry professionals Fees: Attendee Pass Silver pass - $1.199 (Advanced by 2 Aug), $1.499 (Onsite) Gold pass - $1.399 (Advanced by 2 Aug), $1.699 (Onsite) Platinum pass - $1.499 (Advanced by 2 Aug), $1.749 (Onsite) Qualifying Brand Pass Silver pass - $699 (Advanced by 2 Aug), $1.099 (Onsite) Gold pass - $899 (Advanced by 2 Aug), $1.199 (Onsite) Platinum pass - $999 (Advanced by 2 Aug), $1.249 (Onsite)",,,,,,,https://twitter.com/momentumeventco,,
Conference,"Print, Packaging, Graphics",International Conference on Electronic Packaging Technology,11 Aug 2019-15 Aug 2019,09:00 AM - 06:00 PM,8 Aug 2018-11 Aug 2018,20-Aug,China,Hong Kong,Hong Kong Science Park,,,http://www.icept.org,,icept2019@163.com,"Latest Developments in Packaging and Manufacturing Technologies ICEPT 2019 is an international event, featuring plenary talks, oral and poster technical sessions, professional development courses, exhibitions, and social networking activities. It aims to cover the latest development of packaging and manufacturing technologies for ICs, optoelectronics, passives, and MEMS. http://www.icept.org/?page_id=1690",,"Eligibility Criteria: Open to industry professionals Fees: Option A - RMB 3.300 Option B (Students) - RMB 1.600 Option C (Publication fee) - RMB 1.600 RMB 300 discount for IEEE members RMB 300 discount for participants who pay before July 16, 2019",,,,,,,,,
Conference,"Print, Packaging, Graphics",EuroPack Summit,2 Sep 2019-3 Sep 2019,09:00 AM - 06:00 PM,3 Sep 2018-4 Sep 2018,20-Sep,Switzerland,Montreux,Fairmont Le Montreux Palace,100,,http://www.europacksummit.com/index.asp?eventID=&LangID=&pageID=1#.XTmcq-gza00,+357 22 849 400,WebEnquiries@marcusevanscy.com,"The Premium Forum Bringing Elite Buyers and Sellers Together As an invitation-only event taking place behind closed doors, the summit offers FMCG packaging executives and suppliers and solution providers an intimate environment for a focused discussion on how to win the battle for market and mind share through packaging. http://www.europacksummit.com/index.asp?eventID=&LangID=&pageID=1#.XTmea-gza00",,Eligibility Criteria: Invitation-only event Industry professionals may register for invitation. Fees: Contact required for further information,Sponsorship opportunity available,,,https://www.facebook.com/marcusevansGroup,,https://www.linkedin.com/company/marcusevansgroup/?originalSubdomain=tr,https://twitter.com/meEventsNetwork,,
Conference,"Print, Packaging, Graphics",AmericaPack Summit,24 Feb 2020-25 Feb 2020,09:00 AM - 06:00 PM,21 Feb 2019-22 Feb 2019,21-Feb,USA,Las Vegas,Caesars Palace,700,,http://www.me-uk.com/newsummitconcept-epi/index.asp?eventID=25193&LangID=&pageID=1#.XTmg2-gza00,+312 476 9918,webenquiries@marcusevansbb.com,"Meet with C-level Packaging Executives from the largest corporations in the US The AmericaPack Summit is the premium forum bringing elite buyers and sellers together. As an invitation-only event taking place behind closed doors, the summit offers FMCG packaging executives and suppliers and solution providers an intimate environment for a focused discussion on how to win the battle for market and mind share through packaging. http://www.me-uk.com/newsummitconcept-epi/index.asp?eventID=25193&LangID=&pageID=1#.XTmlvugza00",,Eligibility Criteria: Invitation-only event Industry professionals may register for invitation. Fees: Contact required for further information,Sponsorship opportunity available,,,https://www.facebook.com/marcusevansGroup,,https://www.linkedin.com/company/marcusevansgroup/?originalSubdomain=tr,https://twitter.com/meEventsNetwork,,
Conference,"Print, Packaging, Graphics",American Packaged Summit,5 Sep 2019-6 Sep 2019,08:40 AM - 06:00 PM (5 Sep 2019)|08:45 AM - 04:25 PM (6 Sep 2019),,20-Sep,USA,Boston,Boston Park Plaza,118,,https://www.american-packaged.com/,+44 20 7738 5454,maxconferences@markallengroup.com,Consumer-centric innovations for profitable packaging strategies Join North America's leading packaging professionals as they discuss real-life case studies. Discover more content than at any event of its kind. https://www.american-packaged.com/,,Eligibility Criteria: Open to industry professionals Fees: Early bird rate (before 26 Jul) - $595 Full price - $995,Sponsorship Fees: Contact required for further information Sponsorship Registration,,https://www.american-packaged.com/content-zone/videos/packaged-the-7th-global-summit-2018-highlights,,,https://www.linkedin.com/showcase/packaged-summit/,https://twitter.com/Packaged_Summit,,
